"fw","neg","pos","p","source","chargeDensity","phii","U:0","U:1","U:2","force:0","force:1","force:2","elec:0","elec:1","elec:2","Points:0","Points:1","Points:2"
4.4993,0,0.00100054,1.91029e-07,0.00186574,0.00100054,0,0,0,0,-1.43553e-05,-0.0608792,0,-22.9226,-97306.6,0,0.00025,0,0.00125
4.45294,4.38683e-05,0.000998512,1.56802e-11,0.00174547,0.000954643,6.24885,0,0,0,-8.07256e-06,-0.0607291,0,-12.9317,-97283.9,0,0,0,0.00125
4.3233,0.000128789,0.000985063,-8.12798e-06,0.00150159,0.000856274,24.3267,-3.60801e-05,-0.000764768,0,-2.37939e-05,-0.0557143,0,-41.7464,-94763.3,0,0.00025,0.00025,0.00125
4.32259,0.000128477,0.000982902,-8.16954e-06,0.00150264,0.000854424,24.3209,0,0,0,-1.2969e-05,-0.0555814,0,-22.7963,-94742.1,0,0,0.00025,0.00125
4.50152,0,0.00100349,5.08805e-07,0.00186666,0.00100349,0,0,0,0,-2.46849e-05,-0.0611144,0,-39.3214,-97367.3,0,0.0005,0,0.00125
4.32522,0.000129117,0.000988221,-8.0473e-06,0.00150069,0.000859103,24.3418,-7.05553e-05,-0.000905066,0,-4.24316e-05,-0.0559324,0,-74.3553,-94821,0,0.0005,0.00025,0.00125
4.50462,0,0.00100492,6.98265e-07,0.00186794,0.00100492,0,0,0,0,-3.22558e-05,-0.0612666,0,-51.3053,-97455.4,0,0.00075,0,0.00125
4.32808,0.000129062,0.000989725,-7.98339e-06,0.00150154,0.000860662,24.3638,-0.000103853,-0.000917234,0,-5.69363e-05,-0.056084,0,-99.6899,-94906.4,0,0.00075,0.00025,0.00125
4.50847,0,0.00100575,7.99442e-07,0.00186953,0.00100575,0,0,0,0,-3.91766e-05,-0.0613955,0,-62.2555,-97566.8,0,0.001,0,0.00125
4.33173,0.000128948,0.000990576,-7.94233e-06,0.00150306,0.000861629,24.3917,-0.000136777,-0.000912284,0,-6.9926e-05,-0.0562113,0,-122.338,-95015.6,0,0.001,0.00025,0.00125
4.51305,0,0.00100639,8.68934e-07,0.00187143,0.00100639,0,0,0,0,-4.59566e-05,-0.0615243,0,-72.9768,-97700,0,0.00125,0,0.00125
4.33612,0.00012887,0.000991232,-7.91298e-06,0.00150486,0.000862363,24.425,-0.000170608,-0.000907309,0,-8.23878e-05,-0.0563367,0,-144.032,-95147,0,0.00125,0.00025,0.00125
4.51835,0,0.00100703,9.29379e-07,0.00187363,0.00100703,0,0,0,0,-5.26968e-05,-0.061666,0,-83.6201,-97854.8,0,0.0015,0,0.00125
4.34124,0.000128808,0.000991869,-7.88756e-06,0.00150693,0.000863061,24.4637,-0.000205508,-0.000903956,0,-9.46274e-05,-0.0564727,0,-165.298,-95299.9,0,0.0015,0.00025,0.00125
4.52438,0,0.0010077,9.89156e-07,0.00187614,0.0010077,0,0,0,0,-5.93618e-05,-0.0618242,0,-94.124,-98030.6,0,0.00175,0,0.00125
4.34705,0.000128753,0.000992546,-7.8624e-06,0.00150927,0.000863793,24.5077,-0.000241147,-0.000901838,0,-0.000106678,-0.0566235,0,-186.186,-95473.8,0,0.00175,0.00025,0.00125
4.53112,0,0.00100843,1.05195e-06,0.00187893,0.00100843,0,0,0,0,-6.59091e-05,-0.0619996,0,-104.419,-98227.1,0,0.002,0,0.00125
4.35356,0.000128698,0.000993277,-7.83565e-06,0.00151188,0.000864579,24.5568,-0.000277246,-0.000900505,0,-0.000118503,-0.0567902,0,-206.63,-95668.2,0,0.002,0.00025,0.00125
4.53855,0,0.00100922,1.11958e-06,0.00188201,0.00100922,0,0,0,0,-7.23028e-05,-0.062192,0,-114.447,-98443.9,0,0.00225,0,0.00125
4.36075,0.000128641,0.000994062,-7.80616e-06,0.00151476,0.000865421,24.611,-0.000313641,-0.000899673,0,-0.000130054,-0.0569727,0,-226.545,-95882.7,0,0.00225,0.00025,0.00125
4.54665,0,0.00101005,1.19298e-06,0.00188537,0.00101005,0,0,0,0,-7.85138e-05,-0.0624005,0,-124.16,-98680.2,0,0.0025,0,0.00125
4.36859,0.000128581,0.000994896,-7.77318e-06,0.0015179,0.000866315,24.6701,-0.000350236,-0.000899187,0,-0.000141286,-0.0571705,0,-245.846,-96116.8,0,0.0025,0.00025,0.00125
4.55541,0,0.00101093,1.27277e-06,0.001889,0.00101093,0,0,0,0,-8.45173e-05,-0.0626245,0,-133.52,-98935.6,0,0.00275,0,0.00125
4.37707,0.000128517,0.00099577,-7.73611e-06,0.0015213,0.000867252,24.7339,-0.000386973,-0.000898964,0,-0.000152154,-0.0573827,0,-264.463,-96369.7,0,0.00275,0.00025,0.00125
4.5648,0,0.00101183,1.3595e-06,0.00189289,0.00101183,0,0,0,0,-9.02926e-05,-0.0628629,0,-142.496,-99209.1,0,0.003,0,0.00125
4.38616,0.000128451,0.000996676,-7.6943e-06,0.00152496,0.000868227,24.8023,-0.000423802,-0.000898963,0,-0.000162622,-0.0576084,0,-282.331,-96640.8,0,0.003,0.00025,0.00125
4.57479,0,0.00101277,1.45369e-06,0.00189704,0.00101277,0,0,0,0,-9.58207e-05,-0.0631146,0,-151.059,-99500.2,0,0.00325,0,0.00125
4.39585,0.000128381,0.000997609,-7.64708e-06,0.00152885,0.000869229,24.875,-0.000460671,-0.000899168,0,-0.000172655,-0.0578468,0,-299.393,-96929.4,0,0.00325,0.00025,0.00125
4.58535,0,0.00101373,1.55596e-06,0.00190142,0.00101373,0,0,0,0,-0.000101084,-0.0633788,0,-159.184,-99808,0,0.0035,0,0.00125
4.4061,0.000128309,0.00099856,-7.59375e-06,0.00153299,0.000870251,24.952,-0.000497512,-0.000899583,0,-0.000182221,-0.0580968,0,-315.599,-97234.5,0,0.0035,0.00025,0.00125
4.59647,0,0.00101471,1.66697e-06,0.00190603,0.00101471,0,0,0,0,-0.000106068,-0.0636546,0,-166.848,-100131,0,0.00375,0,0.00125
4.41689,0.000128235,0.000999523,-7.53344e-06,0.00153735,0.000871286,25.0329,-0.00053423,-0.000900216,0,-0.000191289,-0.0583575,0,-330.901,-97555.4,0,0.00375,0.00025,0.00125
4.6081,0,0.00101569,1.78746e-06,0.00191085,0.00101569,0,0,0,0,-0.000110756,-0.063941,0,-174.029,-100470,0,0.004,0,0.00125
